programa sprograma
test sidentificador
; sponto_virgula
var svar
v sidentificador
: sdoispontos
inteiro sinteiro
; sponto_virgula
i sidentificador
, svirgula
max sidentificador
, svirgula
juro sidentificador
: sdoispontos
inteiro sinteiro
; sponto_virgula
inicio sinicio
enquanto senquanto
i sidentificador
< smenor
2 snum
faca sfaca
inicio sinicio
leia sleia
( sabre_parenteses
v sidentificador
) sfecha_parenteses
; sponto_virgula
leia sleia
( sabre_parenteses
juro sidentificador
) sfecha_parenteses
; sponto_virgula
leia sleia
( sabre_parenteses
max sidentificador
) sfecha_parenteses
; sponto_virgula
max sidentificador
:= satribuicao
1 snum
; sponto_virgula
i sidentificador
:= satribuicao
1 snum
; sponto_virgula
enquanto senquanto
i sidentificador
<= smenorig
max sidentificador
faca sfaca
inicio sinicio
i sidentificador
:= satribuicao
i sidentificador
+ smais
1 snum
fim sfim
; sponto_virgula
escreva sescreva
( sabre_parenteses
v sidentificador
) sfecha_parenteses
fim sfim
fim sfim
. sponto
