programa sprograma
exemplo sidentificador
; sponto_virgula
var svar
total sidentificador
, svirgula
totaldesc sidentificador
: sdoispontos
inteiro sinteiro
; sponto_virgula
procedimento sprocedimento
calculasal sidentificador
; sponto_virgula
var svar
horastrab sidentificador
, svirgula
valorhora sidentificador
, svirgula
nrofaltas sidentificador
: sdoispontos
inteiro sinteiro
; sponto_virgula
funcao sfuncao
desconto sidentificador
: sdoispontos
booleano sbooleano
; sponto_virgula
var svar
inss sidentificador
, svirgula
ir sidentificador
: sdoispontos
inteiro sinteiro
; sponto_virgula
inicio sinicio
leia sleia
( sabre_parenteses
inss sidentificador
) sfecha_parenteses
; sponto_virgula
escreva sescreva
( sabre_parenteses
inss sidentificador
) sfecha_parenteses
; sponto_virgula
leia sleia
( sabre_parenteses
ir sidentificador
) sfecha_parenteses
; sponto_virgula
se sse
( sabre_parenteses
inss sidentificador
+ smais
ir sidentificador
) sfecha_parenteses
> smaior
100 snum
entao sentao
inicio sinicio
desconto sidentificador
:= satribuicao
verdadeiro sverdadeiro
; sponto_virgula
fim sfim
senao ssenao
desconto sidentificador
:= satribuicao
falso sfalso
; sponto_virgula
totaldesc sidentificador
:= satribuicao
inss sidentificador
+ smais
ir sidentificador
; sponto_virgula
escreva sescreva
( sabre_parenteses
totaldesc sidentificador
) sfecha_parenteses
; sponto_virgula
fim sfim
; sponto_virgula
inicio sinicio
leia sleia
( sabre_parenteses
nrofaltas sidentificador
) sfecha_parenteses
; sponto_virgula
leia sleia
( sabre_parenteses
horastrab sidentificador
) sfecha_parenteses
; sponto_virgula
leia sleia
( sabre_parenteses
valorhora sidentificador
) sfecha_parenteses
; sponto_virgula
se sse
desconto sidentificador
entao sentao
escreva sescreva
( sabre_parenteses
valorhora sidentificador
) sfecha_parenteses
senao ssenao
totaldesc sidentificador
:= satribuicao
0 snum
; sponto_virgula
total sidentificador
:= satribuicao
horastrab sidentificador
* smult
valorhora sidentificador
- smenos
totaldesc sidentificador
; sponto_virgula
fim sfim
; sponto_virgula
inicio sinicio
calculasal sidentificador
; sponto_virgula
se sse
total sidentificador
> smaior
1500 snum
entao sentao
escreva sescreva
( sabre_parenteses
total sidentificador
) sfecha_parenteses
senao ssenao
se sse
total sidentificador
> smaior
totaldesc sidentificador
entao sentao
inicio sinicio
total sidentificador
:= satribuicao
1000 snum
; sponto_virgula
escreva sescreva
( sabre_parenteses
total sidentificador
) sfecha_parenteses
; sponto_virgula
fim sfim
senao ssenao
escreva sescreva
( sabre_parenteses
total sidentificador
) sfecha_parenteses
; sponto_virgula
fim sfim
. sponto
